,Year,State,Source,Percentage
533,1990,OH,Percentage Petroleum,0.29260779649704055
534,1990,OH,Percentage Solar,0.0
535,1990,OH,Percentage Total,100.0
536,1990,OH,Percentage Wind,0.0
537,1990,OH,Percentage Wood Fuels,0.2485339039118037
538,1990,OH,Percentage Total Renewable,0.6280291375890334
539,1990,OH,Percentage Renewable Including Nuclear,8.960466305940434
540,1990,OK,Percentage Coal,54.49409633325645
541,1990,OK,Percentage Geothermal,0.0
542,1990,OK,Percentage Hydro,5.800009350215066
543,1990,OK,Percentage Natural Gas,38.73641168100575
544,1990,OK,Percentage Nuclear,0.0
545,1990,OK,Percentage Other,0.0
546,1990,OK,Percentage Other Biomass,0.003780868427669151
547,1990,OK,Percentage Other Gases,0.18897969888186764
548,1990,OK,Percentage Petroleum,0.16344184432801023
549,1990,OK,Percentage Solar,0.0
550,1990,OK,Percentage Total,100.0
551,1990,OK,Percentage Wind,0.0
552,1990,OK,Percentage Wood Fuels,0.5712998398377405
553,1990,OK,Percentage Total Renewable,6.375090058480476
554,1990,OK,Percentage Renewable Including Nuclear,6.375090058480476
555,1990,OR,Percentage Coal,2.6152184310420523
556,1990,OR,Percentage Geothermal,0.0
557,1990,OR,Percentage Hydro,81.87122564898648
558,1990,OR,Percentage Natural Gas,1.626546814399901
559,1990,OR,Percentage Nuclear,12.057824870033564
560,1990,OR,Percentage Other,0.0
561,1990,OR,Percentage Other Biomass,0.1796366553988193
562,1990,OR,Percentage Other Gases,0.0
563,1990,OR,Percentage Petroleum,0.055143472288980776
564,1990,OR,Percentage Solar,0.0
565,1990,OR,Percentage Total,100.0
566,1990,OR,Percentage Wind,0.0010700338972445059
567,1990,OR,Percentage Wood Fuels,1.593334073952961
568,1990,OR,Percentage Total Renewable,83.6452664122355
569,1990,OR,Percentage Renewable Including Nuclear,95.70309128226907
